id,prediction
0,0.514984
1,0.6222444
2,0.20781988
3,0.79931563
4,0.46050632
5,0.8116291
6,0.23686618
7,0.1548314
8,0.16609092
9,0.8750917
10,0.18373355
11,0.7644592
12,0.8512017
13,0.73557127
14,0.54720867
15,0.8824745
16,0.18148538
17,0.7943975
18,0.7962183
19,0.28537157
20,0.7140902
21,0.77845573
22,0.6068088
23,0.1716797
24,0.2816881
25,0.8266106
26,0.67386174
27,0.78656274
28,0.44554722
29,0.85104746
30,0.6264168
31,0.7576563
32,0.5868283
33,0.21401249
34,0.7756279
35,0.80803984
36,0.7892448
37,0.59232855
38,0.18692069
39,0.19322772
40,0.19630581
41,0.20089693
42,0.15795933
43,0.3680178
44,0.6796068
45,0.79580295
46,0.47801146
47,0.14695485
48,0.6685433
49,0.44540122
50,0.71702504
51,0.20287746
52,0.20360644
53,0.16731599
54,0.69248164
55,0.6253929
56,0.3584235
57,0.9179305
58,0.13300693
59,0.19447683
60,0.7893556
61,0.81212455
62,0.77702284
63,0.18600252
64,0.1674259
65,0.3471924
66,0.6390623
67,0.14859463
68,0.6640802
69,0.69538504
70,0.74004155
71,0.8109952
72,0.091794886
73,0.16134822
74,0.6727839
75,0.76470894
76,0.18211828
77,0.83782154
78,0.44756123
79,0.8389483
80,0.23844154
81,0.8816046
82,0.68145734
83,0.6468014
84,0.4553109
85,0.5236132
86,0.50076383
87,0.13915545
88,0.60466874
89,0.17745002
90,0.17502938
91,0.20495486
92,0.15496154
93,0.8158012
94,0.84842974
95,0.75650984
96,0.16449088
97,0.71726537
98,0.8183
99,0.84025884
100,0.75571287
101,0.68422574
102,0.68399423
103,0.5691708
104,0.230367
105,0.876505
106,0.5354067
107,0.81581384
108,0.15279572
109,0.55890155
110,0.77989554
111,0.8232216
112,0.22510256
113,0.18847351
114,0.27201876
115,0.5606392
116,0.5430714
117,0.16849157
118,0.45066544
119,0.20215291
120,0.42056328
121,0.8591438
122,0.81488645
123,0.16422936
124,0.12311439
125,0.1992649
126,0.90676165
127,0.18661676
128,0.7656755
129,0.5364289
130,0.85917974
131,0.636446
132,0.2079836
133,0.1516762
134,0.40656245
135,0.79554087
136,0.3935753
137,0.77802527
138,0.41828483
139,0.84707564
140,0.7868836
141,0.7730343
142,0.19449401
143,0.7310193
144,0.64060014
145,0.19959904
146,0.84489536
147,0.7871311
148,0.15176289
149,0.70815146
150,0.3490238
151,0.62703526
152,0.7783438
153,0.08002725
154,0.1393746
155,0.78465915
156,0.17430155
157,0.1720257
158,0.6917457
159,0.21041065
160,0.7136423
161,0.1445542
162,0.56740725
163,0.8028
164,0.5375743
165,0.6007831
166,0.39588934
167,0.18447581
168,0.65643
169,0.8403064
170,0.5689521
171,0.5953147
172,0.4935631
173,0.18801434
174,0.463508
175,0.8812508
176,0.60350263
177,0.36375624
178,0.21222572
179,0.15510456
180,0.30242783
181,0.16679573
182,0.50703543
183,0.5160039
184,0.79019016
185,0.6102524
186,0.43357494
187,0.53956693
188,0.8325661
189,0.7026556
190,0.83535683
191,0.19993053
192,0.65743643
193,0.7541352
194,0.73088723
195,0.7446047
196,0.7744034
197,0.6822177
198,0.8048736
199,0.17188819
200,0.78987354
201,0.6473829
202,0.15896302
203,0.7024982
204,0.7337819
205,0.63624007
206,0.13287619
207,0.20795363
208,0.369049
209,0.12649561
210,0.341077
211,0.62729913
212,0.7472523
213,0.43762282
214,0.62638736
215,0.76915365
216,0.5262076
217,0.58705264
218,0.6334375
219,0.4838059
220,0.82147187
221,0.79382753
222,0.15617906
223,0.846734
224,0.783376
225,0.48287258
226,0.66232735
227,0.82776153
228,0.6290414
229,0.19849274
230,0.16197143
231,0.87082475
232,0.67058367
233,0.43338156
234,0.7469446
235,0.8011657
236,0.52082044
237,0.15980376
238,0.24148405
239,0.70336884
240,0.83206755
241,0.5747673
242,0.16295452
243,0.775472
244,0.7294908
245,0.58750826
246,0.4251072
247,0.84588104
248,0.3510366
249,0.19556671
250,0.8772096
251,0.7462627
252,0.8040627
253,0.6431774
254,0.786763
255,0.18490162
256,0.6463018
257,0.8145511
258,0.26221365
259,0.42876303
260,0.17146716
261,0.8328918
262,0.11845132
263,0.21444958
264,0.16493843
265,0.17524636
266,0.8532059
267,0.6822872
268,0.192233
269,0.13810912
270,0.16419384
271,0.15657568
272,0.60310125
273,0.3674574
274,0.72861826
275,0.32670572
276,0.5455376
277,0.045785885
278,0.4510596
279,0.7819819
280,0.8166833
281,0.7960765
282,0.66961366
283,0.81822866
284,0.55027544
285,0.17271477
286,0.17008823
287,0.68226826
288,0.664584
289,0.53141034
290,0.6654864
291,0.28319293
292,0.57005566
293,0.09124769
294,0.7973208
295,0.16812137
296,0.8056215
297,0.42200258
298,0.69813555
299,0.753898
300,0.651157
301,0.6051747
302,0.3360799
303,0.76287663
304,0.57242066
305,0.15211831
306,0.723954
307,0.8345904
308,0.19328973
309,0.44645724
310,0.20504531
311,0.11548542
312,0.80498046
313,0.6481527
314,0.18425085
315,0.8041996
316,0.68042547
317,0.8186119
318,0.184287
319,0.72387785
320,0.40024468
321,0.1829932
322,0.68337274
323,0.15335245
324,0.95005697
325,0.20128262
326,0.59771526
327,0.16114886
328,0.5095152
329,0.6774831
330,0.8708038
331,0.16292803
332,0.7442099
333,0.15794848
334,0.8181572
335,0.83585757
336,0.107099295
337,0.6065912
338,0.651965
339,0.39771026
340,0.69501543
341,0.7509963
342,0.84923077
343,0.25381452
344,0.8034837
345,0.6568892
346,0.6102868
347,0.1684173
348,0.8051992
349,0.8066306
350,0.5485146
351,0.7010586
352,0.82072514
353,0.5202664
354,0.5115864
355,0.65176547
356,0.61618435
357,0.12228822
358,0.16301341
359,0.71882766
360,0.6837295
361,0.09157625
362,0.16637136
363,0.46293432
364,0.6639109
365,0.55985457
366,0.736818
367,0.42813057
368,0.42671806
369,0.18264458
370,0.71326846
371,0.7436553
372,0.78432995
373,0.8377322
374,0.5625987
375,0.6091191
376,0.6937578
377,0.45879537
378,0.12863627
379,0.5147318
380,0.16994119
381,0.87574756
382,0.8617294
383,0.22068469
384,0.6414596
385,0.20562926
386,0.18359204
387,0.28903505
388,0.41992533
389,0.68908
390,0.6156124
391,0.39628085
392,0.10781232
393,0.44394645
394,0.8208354
395,0.19887829
396,0.523909
397,0.52977294
398,0.19585232
399,0.16186379
400,0.7387668
401,0.8497639
402,0.19852486
403,0.11758326
404,0.27525714
405,0.7402981
406,0.70144284
407,0.15516461
408,0.17371926
409,0.17278625
410,0.7928191
411,0.077400066
412,0.1611324
413,0.64907104
414,0.5176929
415,0.60976875
416,0.74942356
417,0.778243
418,0.7165317
419,0.5532865
420,0.8255925
421,0.78034246
422,0.80792207
423,0.61156964
424,0.69250786
425,0.16667914
426,0.7551947
427,0.7575508
428,0.8672231
429,0.8068881
430,0.72445023
431,0.16864426
432,0.77995914
433,0.88011295
434,0.6430442
435,0.7158736
436,0.15064625
437,0.19211422
438,0.7389878
439,0.5204244
440,0.16783391
441,0.60053474
442,0.16849253
443,0.7046152
444,0.32723546
445,0.72226983
446,0.15983704
447,0.7835756
448,0.63718706
449,0.39932486
450,0.5970311
451,0.4064606
452,0.70078766
453,0.15832621
454,0.27310354
455,0.2747928
456,0.19992627
457,0.7511511
458,0.7295496
459,0.22084862
460,0.8276189
461,0.76952374
462,0.32567742
463,0.31672817
464,0.7816365
465,0.67885065
466,0.7527631
467,0.16159277
468,0.1453981
469,0.6896988
470,0.18646227
471,0.17131168
472,0.5175354
473,0.8502477
474,0.47443667
475,0.5590728
476,0.75756973
477,0.14057639
478,0.797749
479,0.8241175
480,0.6727148
481,0.56725824
482,0.13806689
483,0.23255044
484,0.7764961
485,0.15687771
486,0.5990001
487,0.1031398
488,0.15465818
489,0.12670921
490,0.3682649
491,0.7309527
492,0.4756451
493,0.17303705
494,0.16438149
495,0.15060943
496,0.18456784
497,0.7001737
498,0.18903074
499,0.68531823
500,0.46297956
501,0.5473501
502,0.1748166
503,0.4639515
504,0.74299616
505,0.494378
506,0.60893005
507,0.543263
508,0.33860365
509,0.1601319
510,0.53745186
511,0.17639068
512,0.78627807
513,0.7500899
514,0.67000264
515,0.46204433
516,0.8686806
517,0.53803754
518,0.48486775
519,0.62736034
520,0.81527495
521,0.7704453
522,0.8389767
523,0.21069361
524,0.6574272
525,0.15025851
526,0.72985643
527,0.6751503
528,0.66744864
529,0.79165757
530,0.75209785
531,0.1804732
532,0.17965116
533,0.59977794
534,0.1767026
535,0.59877926
536,0.7555853
537,0.51797444
538,0.16420883
539,0.65597886
540,0.7782878
541,0.78216606
542,0.8298017
543,0.63365334
544,0.5783343
545,0.6879488
546,0.35914215
547,0.59054714
548,0.6069796
549,0.5213348
550,0.7591575
551,0.46352565
552,0.39494136
553,0.5699899
554,0.57724196
555,0.8350884
556,0.3785616
557,0.6235194
558,0.8212441
559,0.5355992
560,0.7708112
561,0.5909134
562,0.6272196
563,0.10943681
564,0.44218683
565,0.71678907
566,0.11103556
567,0.8206342
568,0.24567893
569,0.5949764
570,0.15001136
571,0.7974648
572,0.12128351
573,0.6548424
574,0.44421247
575,0.33980152
576,0.1487151
577,0.80174047
578,0.5188298
579,0.53882116
580,0.6956365
581,0.7962236
582,0.7629674
583,0.16655502
584,0.2392305
585,0.38096485
586,0.46633574
587,0.6450657
588,0.35316297
589,0.47857374
590,0.14633882
591,0.8324346
592,0.7220485
593,0.7032063
594,0.60241306
595,0.51878154
596,0.8487441
597,0.730827
598,0.106325775
599,0.7403409
600,0.7596194
601,0.29447457
602,0.7770842
603,0.19541904
604,0.633462
605,0.7848977
606,0.57363343
607,0.7260152
608,0.43469918
609,0.7085493
610,0.3932919
611,0.17464419
612,0.70838344
613,0.06547039
614,0.34092695
615,0.46521282
616,0.752573
617,0.13038614
618,0.5225047
619,0.073597535
620,0.15038814
621,0.2070821
622,0.133554
623,0.3095863
624,0.43316028
625,0.11936792
626,0.8630503
627,0.48198137
628,0.18205778
629,0.62023515
630,0.1117439
631,0.66444755
632,0.3970226
633,0.62804294
634,0.7677927
635,0.24612845
636,0.6394683
637,0.17567705
638,0.6160305
639,0.7320481
640,0.7670445
641,0.72945595
642,0.1269555
643,0.59343654
644,0.23924103
645,0.18350859
646,0.13674311
647,0.7232739
648,0.32516992
649,0.31883392
650,0.28783473
651,0.8130478
652,0.7129987
653,0.8047785
654,0.56169456
655,0.58419263
656,0.6260523
657,0.81931883
658,0.45691314
659,0.43006292
660,0.404721
661,0.67560893
662,0.48161322
663,0.15160252
664,0.6962349
665,0.2275558
666,0.6134281
667,0.70453095
668,0.44989514
669,0.74668574
670,0.21084414
671,0.1113931
672,0.6063603
673,0.47833088
674,0.11378532
675,0.72830284
676,0.11207206
677,0.8089961
678,0.5776522
679,0.4068228
680,0.09875107
681,0.5156472
682,0.39154497
683,0.77739716
684,0.6904003
685,0.51017153
686,0.72356194
687,0.6820895
688,0.48021045
689,0.6325217
690,0.1446725
691,0.64449567
692,0.76998895
693,0.7079008
694,0.44691992
695,0.13880594
696,0.23001817
697,0.115435384
698,0.27203643
699,0.6671226
700,0.46913496
701,0.7405804
702,0.57839066
703,0.6287022
704,0.37379718
705,0.19765928
706,0.32890484
707,0.6441145
708,0.19160187
709,0.16854107
710,0.75617886
711,0.43746862
712,0.79569304
713,0.77956885
714,0.123483665
715,0.3805392
716,0.64268994
717,0.5909081
718,0.53879046
719,0.35327744
720,0.6937785
721,0.5266356
722,0.18405347
723,0.8071599
724,0.33707988
725,0.78851765
726,0.086281925
727,0.10347549
728,0.77943856
729,0.42338106
730,0.4094942
731,0.14729625
732,0.6240892
733,0.7228459
734,0.57606345
735,0.45171413
736,0.7041732
737,0.21363698
738,0.70695156
739,0.1521105
740,0.52027833
741,0.49757883
742,0.41255897
743,0.6430942
