id,prediction
0,0.31755278
1,0.78904223
2,0.4787216
3,0.7252969
4,0.36455306
5,0.8220653
6,0.34900606
7,0.3219719
8,0.1551338
9,0.5420641
10,0.5674203
11,0.20084712
12,0.97730607
13,0.22894497
14,0.70676357
15,0.97964627
16,0.091834545
17,0.82263005
18,0.87148553
19,0.09585317
20,0.97069013
21,0.60938627
22,0.5462052
23,0.3872952
24,0.18666276
25,0.84016997
26,0.92457294
27,0.8304153
28,0.7382081
29,0.8537483
30,0.7815309
31,0.81955725
32,0.80132943
33,0.22843336
34,0.9672962
35,0.8070926
36,0.31267765
37,0.26637498
38,0.477126
39,0.3408897
40,0.73865813
41,0.12111293
42,0.23650038
43,0.43029475
44,0.30116898
45,0.91193914
46,0.47201315
47,0.37883896
48,0.9829034
49,0.71074796
50,0.7111322
51,0.47260654
52,0.8333959
53,0.111680664
54,0.3018559
55,0.6804772
56,0.23330362
57,0.9684425
58,0.12897433
59,0.33321
60,0.9274781
61,0.9009244
62,0.797062
63,0.3379833
64,0.1291208
65,0.50752366
66,0.6328798
67,0.2856433
68,0.1662326
69,0.33088362
70,0.60008883
71,0.86473995
72,0.031878762
73,0.19673742
74,0.5088488
75,0.5085417
76,0.27243164
77,0.8678345
78,0.74946046
79,0.6825118
80,0.444217
81,0.7551686
82,0.51352
83,0.5273891
84,0.885361
85,0.32722017
86,0.5050604
87,0.3974433
88,0.53119534
89,0.18563396
90,0.49074027
91,0.0439497
92,0.3518177
93,0.8786789
94,0.84841394
95,0.6853596
96,0.01938624
97,0.62087774
98,0.8694552
99,0.9314259
100,0.40093252
101,0.24263741
102,0.71710855
103,0.19943053
104,0.6030627
105,0.7647029
106,0.8599405
107,0.81389153
108,0.09544458
109,0.29727903
110,0.93108094
111,0.92395633
112,0.09303887
113,0.35279468
114,0.28427824
115,0.6735596
116,0.8850734
117,0.21310705
118,0.43083832
119,0.3932492
120,0.69014025
121,0.90302145
122,0.9455354
123,0.024216374
124,0.07527914
125,0.3173161
126,0.8041686
127,0.2880807
128,0.77752775
129,0.61081845
130,0.9217828
131,0.21038797
132,0.8291221
133,0.44907096
134,0.7507957
135,0.5146882
136,0.17386204
137,0.8418142
138,0.49922016
139,0.78882074
140,0.6636051
141,0.6037871
142,0.37186518
143,0.3737115
144,0.80519944
145,0.070528395
146,0.5562425
147,0.9433948
148,0.41824526
149,0.8214599
150,0.2835779
151,0.4476088
152,0.8382601
153,0.042092476
154,0.095013745
155,0.44626108
156,0.18040773
157,0.62422574
158,0.13864578
159,0.48439348
160,0.65096325
161,0.11196773
162,0.4088708
163,0.5910964
164,0.60327625
165,0.70720136
166,0.34746125
167,0.052722834
168,0.80801135
169,0.4478213
170,0.8174862
171,0.4448015
172,0.3762856
173,0.36928707
174,0.2811736
175,0.9563248
176,0.8424197
177,0.5873181
178,0.10239618
179,0.32413742
180,0.40822825
181,0.11013799
182,0.45516396
183,0.4739452
184,0.8074709
185,0.9311384
186,0.66351116
187,0.5585334
188,0.94823617
189,0.14796385
190,0.34309307
191,0.1834964
192,0.83329314
193,0.9766549
194,0.63054377
195,0.5722257
196,0.8109399
197,0.7996877
198,0.8600174
199,0.31367013
200,0.58190656
201,0.49519482
202,0.19627443
203,0.7439602
204,0.43620265
205,0.88727146
206,0.052507915
207,0.18942283
208,0.51424414
209,0.19167134
210,0.9142564
211,0.6971164
212,0.05754798
213,0.24615443
214,0.22851115
215,0.36220473
216,0.7143279
217,0.6622363
218,0.745787
219,0.8099598
220,0.8830457
221,0.6230005
222,0.45807487
223,0.98458594
224,0.8661215
225,0.34574604
226,0.5246498
227,0.15263747
228,0.49159843
229,0.21967699
230,0.4207011
231,0.6706746
232,0.48150912
233,0.5310457
234,0.74813646
235,0.77764344
236,0.5074547
237,0.10735677
238,0.37671113
239,0.856182
240,0.63443
241,0.45538643
242,0.11230978
243,0.8488325
244,0.9276517
245,0.46351135
246,0.42230657
247,0.6949463
248,0.10018075
249,0.15710557
250,0.5620387
251,0.6937528
252,0.57138205
253,0.84014
254,0.47402763
255,0.18090685
256,0.67672014
257,0.41516316
258,0.27481058
259,0.76137936
260,0.012956902
261,0.63262683
262,0.46415448
263,0.041110612
264,0.059467234
265,0.5688854
266,0.7576928
267,0.9357917
268,0.3805178
269,0.4795459
270,0.062591255
271,0.10358393
272,0.38859636
273,0.77316004
274,0.8274266
275,0.07412242
276,0.9236827
277,0.21259208
278,0.54992515
279,0.9911686
280,0.6229304
281,0.6490982
282,0.6752076
283,0.95840836
284,0.42448843
285,0.17324282
286,0.21979053
287,0.104792
288,0.8157025
289,0.65523297
290,0.2871555
291,0.3757126
292,0.34461668
293,0.47601318
294,0.73722297
295,0.47246796
296,0.5479375
297,0.35297906
298,0.588575
299,0.25619763
300,0.66280556
301,0.32080212
302,0.18242104
303,0.8108313
304,0.52766997
305,0.021950848
306,0.60710496
307,0.90998614
308,0.4406942
309,0.74560577
310,0.33321232
311,0.15250011
312,0.9338675
313,0.6969115
314,0.12903313
315,0.8522379
316,0.97528946
317,0.3172621
318,0.17932461
319,0.7469825
320,0.24450527
321,0.74950886
322,0.7652867
323,0.0538776
324,0.48206472
325,0.17336437
326,0.8153958
327,0.024821026
328,0.5085117
329,0.6974403
330,0.9492946
331,0.028503148
