id,prediction
0,0.468915
1,0.7795571
2,0.17503269
3,0.7116619
4,0.1530287
5,0.90869814
6,0.22647376
7,0.01256502
8,0.123303376
9,0.9083691
10,0.16940862
11,0.53710514
12,0.9766053
13,0.49669838
14,0.5185819
15,0.9446202
16,0.1503299
17,0.85978574
18,0.8809208
19,0.11700548
20,0.89954704
21,0.72885925
22,0.28874302
23,0.15527958
24,0.07381018
25,0.62162244
26,0.96614844
27,0.90454096
28,0.47387943
29,0.7173246
30,0.8041721
31,0.80844474
32,0.761608
33,0.13458918
34,0.94532424
35,0.9203792
36,0.3490012
37,0.62559795
38,0.12588382
39,0.17060378
40,0.08914015
41,0.12334344
42,0.1630845
43,0.25254914
44,0.71196985
45,0.9500558
46,0.4316658
47,0.19834906
48,0.96046114
49,0.7088973
50,0.69310635
51,0.17018557
52,0.51146
53,0.115083
54,0.33999506
55,0.5656004
56,0.5528924
57,0.9528439
58,0.008210889
59,0.16623779
60,0.95051086
61,0.9294835
62,0.89794004
63,0.16722396
64,0.12551753
65,0.104370855
66,0.7042629
67,0.15485194
68,0.36000833
69,0.46222383
70,0.743739
71,0.78209496
72,0.021194367
73,0.16647206
74,0.64810276
75,0.6983578
76,0.16857499
77,0.9461506
78,0.47876832
79,0.532118
80,0.47489098
81,0.43410093
82,0.583561
83,0.67706436
84,0.6130929
85,0.20775902
86,0.5671002
87,0.16343045
88,0.43709087
89,0.20836286
90,0.16945647
91,0.042724997
92,0.19060437
93,0.88266677
94,0.8078687
95,0.76445466
96,0.049050923
97,0.7938786
98,0.8850651
99,0.92348766
100,0.40418106
101,0.35565707
102,0.5849643
103,0.10882887
104,0.052020703
105,0.8044687
106,0.68736047
107,0.92774653
108,0.027126338
109,0.49179026
110,0.9069181
111,0.94290555
112,0.09594472
113,0.12215289
114,0.13593984
115,0.76074415
116,0.8202671
117,0.18247159
118,0.51846725
119,0.14971729
120,0.6420271
121,0.9083812
122,0.9399945
123,0.13057886
124,0.054195296
125,0.13306467
126,0.79399127
127,0.115240894
128,0.7921784
