id,prediction
0,0.21560304
1,0.80194473
2,0.23789129
3,0.902754
4,0.23007272
5,0.8887114
6,0.24285889
7,0.123725
8,0.187389
9,0.956258
10,0.31508967
11,0.40900773
12,0.97903204
13,0.43626705
14,0.50461936
15,0.9455948
16,0.2114574
17,0.8768439
18,0.82373524
19,0.18284439
20,0.88922864
21,0.621871
22,0.40632087
23,0.18360762
24,0.15064803
25,0.6503462
26,0.9354077
27,0.9093471
28,0.26419944
29,0.8548132
30,0.84444267
31,0.75013405
32,0.74256223
33,0.21708682
34,0.9334413
35,0.9437911
36,0.4683881
37,0.6710298
38,0.15688772
39,0.18481943
40,0.15311088
41,0.31502315
42,0.2513436
43,0.2614629
44,0.6324234
45,0.9003625
46,0.366669
47,0.24869671
48,0.9662476
49,0.55566734
50,0.7257453
51,0.18709116
52,0.4045575
53,0.1605833
54,0.44327724
55,0.63540983
56,0.32585958
57,0.96241283
58,0.03793478
59,0.20417018
60,0.9628519
61,0.9129918
62,0.89200634
63,0.20930558
64,0.15498827
65,0.26492232
66,0.683412
67,0.26181
68,0.3689126
69,0.36093858
70,0.77312386
71,0.7981505
72,0.027217343
73,0.24044567
74,0.48044014
75,0.6182568
76,0.31504622
77,0.9465669
78,0.36527732
79,0.71422243
80,0.44193268
81,0.65143055
82,0.50854313
83,0.635123
84,0.25062686
85,0.3258233
86,0.58751416
87,0.29444373
88,0.39080283
89,0.22453019
90,0.26751864
91,0.08534318
92,0.30314568
93,0.7948447
94,0.8523471
95,0.7084249
96,0.059233174
97,0.6506731
98,0.92307585
99,0.89938116
100,0.44625136
101,0.27794433
102,0.64366287
103,0.22151034
104,0.04817573
105,0.8363956
106,0.68014514
107,0.93948513
108,0.054613676
109,0.36596993
110,0.897438
111,0.9289085
112,0.21357201
113,0.22788116
114,0.27224135
115,0.6578451
116,0.6787864
117,0.25590485
118,0.6656742
119,0.24629831
120,0.60012406
121,0.9041454
122,0.9483431
123,0.112226866
124,0.045999132
125,0.23517528
126,0.70386666
127,0.2572243
128,0.8249915
129,0.3044351
130,0.916857
131,0.42126256
132,0.6949851
133,0.27108693
134,0.7848315
135,0.585243
136,0.24643822
137,0.8501327
138,0.3561116
139,0.9637707
140,0.7092217
141,0.59047127
142,0.20673315
143,0.61018294
144,0.79972917
145,0.26355228
146,0.8130037
147,0.85686
148,0.2447647
149,0.77181464
150,0.2482012
151,0.57207614
152,0.82530993
153,0.35380206
154,0.22302851
155,0.47294566
156,0.17492081
157,0.13540483
158,0.64549774
159,0.28194872
160,0.58682686
161,0.22874674
162,0.4903477
163,0.47098857
164,0.5626771
165,0.7905277
166,0.074094184
167,0.15975316
168,0.8973142
169,0.47197717
170,0.7630277
171,0.4527579
172,0.3636641
173,0.08776227
174,0.37476122
175,0.9356079
176,0.83153224
177,0.20298137
178,0.14998364
179,0.26827595
180,0.12792897
181,0.26944345
182,0.4903138
183,0.17882669
184,0.8063789
185,0.8795771
186,0.6726042
187,0.37558398
188,0.9112044
189,0.14925745
190,0.45327362
191,0.19570695
192,0.57721573
193,0.94346714
194,0.7373021
195,0.53911346
196,0.8748794
197,0.7471278
198,0.8698673
199,0.22254822
200,0.6717443
201,0.59296143
202,0.27159855
203,0.8607216
204,0.48219818
205,0.81531954
206,0.10208797
207,0.24007164
208,0.19552499
209,0.024111368
210,0.53012294
211,0.8122748
212,0.21476048
213,0.3505626
214,0.22309113
215,0.5394223
216,0.7189095
217,0.6427709
218,0.71443826
219,0.42825267
220,0.8337659
221,0.5029983
222,0.28045416
223,0.9687015
224,0.87973964
225,0.33943075
226,0.72334176
227,0.20385681
228,0.37722802
229,0.235173
230,0.22407486
231,0.7493339
232,0.6279118
233,0.57486135
234,0.84187186
235,0.83870053
236,0.3481583
237,0.30230084
238,0.2749247
239,0.71592075
240,0.6474162
241,0.56259745
242,0.2801655
243,0.8760753
244,0.8207163
245,0.5568782
246,0.36548758
247,0.8737646
248,0.20680578
249,0.2589123
250,0.95172817
251,0.7775672
252,0.48727548
253,0.70054156
254,0.55850214
255,0.26446754
256,0.7007665
257,0.54711795
258,0.12852159
259,0.51603657
260,0.08424198
261,0.6672556
262,0.095372394
263,0.078594856
264,0.1387541
265,0.09114427
266,0.92905945
267,0.88725656
268,0.17736433
269,0.05275043
270,0.2196617
271,0.21541439
272,0.42594418
273,0.69556904
274,0.5809246
275,0.17025535
276,0.8059452
277,0.11197694
278,0.18690264
279,0.9231514
280,0.7056654
281,0.7502605
282,0.49418288
283,0.92335314
284,0.35914126
285,0.24692191
286,0.21583925
287,0.2678481
288,0.7646425
289,0.34796834
290,0.37062344
291,0.42730197
292,0.32772043
293,0.04183875
294,0.4852961
295,0.37780812
296,0.562731
297,0.699837
298,0.81036925
299,0.6837541
300,0.74963975
301,0.35925296
302,0.20743023
303,0.7425146
304,0.6081259
305,0.14236955
306,0.60834193
307,0.9069029
308,0.29936934
309,0.8102025
310,0.16561012
311,0.08801116
312,0.8795138
313,0.25119072
314,0.26883835
315,0.7880321
316,0.98127925
317,0.5297871
318,0.22220753
